Five Year Age Groups and Sex - Custom Region - United States
Year,Age,Both Sexes Population,Male Population,Female Population,Percent Both Sexes,Percent Male,Percent Female,Sex Ratio
2024,60-64,21310584,10260421,11050163,6.2,6.1,6.4,92.9
2024,65-69,19680603,9315165,10365438,5.8,5.5,6.0,89.9
2024,70-74,16196160,7479427,8716733,4.7,4.4,5.0,85.8
2024,75-79,12394273,5585625,6808648,3.6,3.3,3.9,82.0
2024,80-84,7831597,3354061,4477536,2.3,2.0,2.6,74.9
2024,85-89,4359137,1724714,2634423,1.3,1.0,1.5,65.5
2024,90-94,2066207,725429,1340778,0.6,0.4,0.8,54.1
2024,95-99,711870,213309,498561,0.2,0.1,0.3,42.8
2024,100+,114493,28696,85797,0.0,0.0,0.0,33.4
2025,Total,344234377,169737644,174496733,100.0,100.0,100.0,97.3
2025,0-4,20867565,10662485,10205080,6.1,6.3,5.8,104.5
2025,5-9,20721031,10586512,10134519,6.0,6.2,5.8,104.5
2025,10-14,20488875,10475745,10013130,6.0,6.2,5.7,104.6
2025,15-19,21220761,10836000,10384761,6.2,6.4,6.0,104.3
2025,20-24,21909845,11174931,10734914,6.4,6.6,6.2,104.1
2025,25-29,22791976,11626724,11165252,6.6,6.8,6.4,104.1
2025,30-34,24146674,12336669,11810005,7.0,7.3,6.8,104.5
2025,35-39,23326194,11804590,11521604,6.8,7.0,6.6,102.5
2025,40-44,22063360,11027168,11036192,6.4,6.5,6.3,99.9
2025,45-49,20411777,10132983,10278794,5.9,6.0,5.9,98.6
2025,50-54,19854827,9774634,10080193,5.8,5.8,5.8,97.0
2025,55-59,20100359,9831105,10269254,5.8,5.8,5.9,95.7
2025,60-64,21104800,10167597,10937203,6.1,6.0,6.3,93.0
2025,65-69,19978354,9471384,10506970,5.8,5.6,6.0,90.1
2025,70-74,16661600,7701331,8960269,4.8,4.5,5.1,85.9
2025,75-79,13000743,5856814,7143929,3.8,3.5,4.1,82.0
2025,80-84,8135789,3490794,4644995,2.4,2.1,2.7,75.2
2025,85-89,4496284,1784821,2711463,1.3,1.1,1.6,65.8
